movie_id,nombre,clasificacion,genero,duracion_min,sinopsis,categoria,vista_id,poster_url,banner_url,trailer_url,director,actores
moana-live-action,Moana ,A,"MUSICAL, AVENTURA, FANTASÍA, ACCIÓN, FAMILIAR",116 min,"En la adaptación en acción real de Disney de la querida aventura animada nominada al Óscar®, Moana (Catherine Lagaʻaia) responde a la llamada del océano y, por primera vez, viaja más allá del arrecife de su isla de Motunui con el infame semidiós Maui (Dwayne Johnson) en un viaje inolvidable para devolver la prosperidad a su pueblo.",Cartelera,HO00032357,https://tickets-static-content.cinepolis.com/pimcore/19403/assets/Mexico/Tickets/Movies/MoanaLiveAction/Es/720x1022_24/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19403/assets/Mexico/Tickets/Movies/MoanaLiveAction/Es/1440x900_57/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19403/assets/Mexico/Tickets/Movies/MoanaLiveAction/Es/6a232a218be25MOANA2026_W8_1366x770_1/resource.mp4,,[]
la-negociacion,La Negociación,B,"SUSPENSO, CRIMEN",106 min,"En 1977. Tras ser estafado por un banco, Tony Kiritsis se presenta en sus oficinas y toma como rehén al hijo del presidente de la compañía, atándole al cuello un dispositivo mortal conectado al gatillo de una escopeta. Exige que le devuelvan su dinero, además de una disculpa pública que será retransmitida por televisión y vista por millones en prime time. Esta es la historia real de un crimen que conmocionó a toda una nación.",Cartelera,HO00032626,https://tickets-static-content.cinepolis.com/pimcore/20537/assets/Mexico/Tickets/Movies/LaNegociacion/Es/P_ster_720x1022px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20537/assets/Mexico/Tickets/Movies/LaNegociacion/Es/Header_Movie_details_1440x900px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20537/assets/Mexico/Tickets/Movies/LaNegociacion/Es/6a57c7b29e43flanegociacion/resource.mp4,,[]
la-invitacion,La Invitación,B15,COMEDIA,107 min,"Joe y Angela están en la cuerda floja, y esta noche podría ser el momento en que todo se desmorone definitivamente. Por desgracia, sus vecinos de arriba están a punto de llegar para cenar, y todo lo que puede salir mal está destinado a terminar mucho peor.",Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19230/assets/Mexico/Tickets/Movies/LaInvitacion/Es/sello_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19230/assets/Mexico/Tickets/Movies/LaInvitacion/Es/LI_DESKTOP_Header_flujo_de_compra_1440x900px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19230/assets/Mexico/Tickets/Movies/LaInvitacion/Es/6a19e49b7727dinvitacion/resource.mp4,,[]
impacto-mortal,Impacto Mortal,B,SUSPENSO,107 min,"Un vuelo de Los Ángeles a Shanghái sufre una falla catastrófica y termina en un aterrizaje forzoso en medio del océano. Los sobrevivientes quedan atrapados entre los restos del avión, mientras una manada de tiburones, atraída por el caos, comienza a rodearlos. Con el tiempo en contra y el fuselaje hundiéndose, deberán enfrentarse a sus peores miedos y tomar una decisión imposible: arriesgarlo todo en el mar… o morir dentro del avión.",Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19935/assets/Mexico/Tickets/Movies/ImpactoMortal/Es/Poster_720x1022_DW_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19935/assets/Mexico/Tickets/Movies/ImpactoMortal/Es/Header_Movie_Details_1440x900_DW_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19935/assets/Mexico/Tickets/Movies/ImpactoMortal/Es/6a3af82a14495impactomortal/resource.mp4,,[]
evil-dead-en-llamas,Evil Dead: En Llamas,C,TERROR,110 min,"Evil Dead: En Llamas desata el viaje más salvaje y aterrador de la franquicia hasta la fecha, irrumpiendo en la gran pantalla con un capítulo totalmente nuevo de carnicería y caos demoníaco. Tras la pérdida de su marido, una mujer busca consuelo con sus suegros en su aislada casa familiar. A medida que, uno a uno, se van transformando en Deadites —convirtiendo el encuentro en una reunión familiar del infierno—, ella descubre que los votos que hizo en vida... perduran incluso en la muerte.",Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19297/assets/Mexico/Tickets/Movies/EvilDeadEnLlamas/Es/EVILDEAD_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19297/assets/Mexico/Tickets/Movies/EvilDeadEnLlamas/Es/EVILDEAD_1440x900_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19297/assets/Mexico/Tickets/Movies/EvilDeadEnLlamas/Es/6a205679ed534l1_evildeadburn_itrb_sever_red_premium_w8_lasmx_sub_h264_770p_1/resource.mp4,,[]
backrooms-sin-salida-version-extendida,Backrooms: Sin Salida Versión Extendida,B15,TERROR,127 min,"Una extraña puerta aparece en el sótano de una tienda de muebles. Cuando el paciente de una terapeuta desaparece en una dimensión más allá de la realidad, ella deberá adentrarse en lo desconocido para intentar salvarlo. Adaptación de un cortometraje del propio Kane Parsons.",Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20519/assets/Mexico/Tickets/Movies/BackroomsSinSalidaVersionExtendida/Es/720x1022_21/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20519/assets/Mexico/Tickets/Movies/BackroomsSinSalidaVersionExtendida/Es/Header_movie_details_1440x900__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20519/assets/Mexico/Tickets/Movies/BackroomsSinSalidaVersionExtendida/Es/6a5661ab454d2backrooms/resource.mp4,,[]
el-final-de-la-calle-oak,El Final De La Calle Oak,B,"THRILLER, CIENCIA FICCIÓN",100 min,"Tras un misterioso evento cósmico que arranca a la calle Oak de los suburbios y transporta el vecindario a un lugar desconocido, la familia Platt pronto descubre que su supervivencia depende de mantenerse unida mientras intenta orientarse en un entorno ahora irreconocible.",Cartelera,HO00032572,https://tickets-static-content.cinepolis.com/pimcore/19945/assets/Mexico/Tickets/Movies/ElFinalDeLaCalleOak/Es/P_720X1022_5/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19945/assets/Mexico/Tickets/Movies/ElFinalDeLaCalleOak/Es/HMD_1440X900_5/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19945/assets/Mexico/Tickets/Movies/ElFinalDeLaCalleOak/Es/6a3b19b81be7belfinacalleoak/resource.mp4,,[]
paw-patrol-la-dino-pelicula,PAW Patrol: La Dino Película,AA,"ANIMACIÓN, FAMILIAR",89 min,"Después de que su barco queda atrapado en una tormenta misteriosa, los cachorros de PAW Patrol se estrellan en una isla tropical desconocida llena de dinosaurios. Allí conocen a Rex, un cachorro que ha estado varado en la isla por años y que se ha convertido en un experto en todo lo relacionado con dinos. Cuando su archirrival, el Alcalde Humdinger, comienza a minar la isla de manera imprudente para explotar sus recursos naturales, provoca accidentalmente la erupción de un enorme volcán dormido. Los cachorros deberán enfrentarse a rescates gigantescos, más grandes que cualquier cosa que hayan enfrentado antes, para detener a Humdinger antes de que todo en la isla se extinga.",Cartelera,HO00032496,https://tickets-static-content.cinepolis.com/pimcore/19797/assets/Mexico/Tickets/Movies/PAWPatrolLaDinoPelicula/Es/PP3_Desktop_Poster_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19797/assets/Mexico/Tickets/Movies/PAWPatrolLaDinoPelicula/Es/1440x900_55/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19797/assets/Mexico/Tickets/Movies/PAWPatrolLaDinoPelicula/Es/6a343cd3ed50fpaw_patrol/resource.mp4,,[]
pelicula-sorpresa,Película Sorpresa,B15,"COMEDIA, TERROR, ACCIÓN",150 min,"¿Te atreves a ir a una función de cine sin saber qué película verás? Anímate a ser de los primeros en disfrutar de esta experiencia, con una película, que no te diremos cuál es, pero que nuestro equipo seleccionó cuidadosamente y que estamos seguros de que te gustará. Te invitamos a las nuevas Funciones Sorpresa de Cinépolis, diseñadas para salir de la rutina, sorprenderte y emocionarte. ¿Estás listo? ¿Será una película de terror, de comedia o de acción? Sólo una cosa es segura: Será una experiencia como ninguna otra.",Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/21412/assets/Mexico/Tickets/Movies/PeliculaSorpresa/Es/720x1022_definitiva_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/21412/assets/Mexico/Tickets/Movies/PeliculaSorpresa/Es/1440x900_55/resource.jpg,,,[]
ateez-light-the-way-en-cines,ATEEZ: LIGHT THE WAY EN CINES,TBC,CONCIERTO,65 min,"Un día, llega un misterioso mensaje para ATEEZ, quienes habían estado pasando unos días tranquilos en su escondite. En ese momento, todo empezó a cambiar. ATINY desapareció… Como si estuviera bajo hechizo, ATEEZ vaga por un páramo onírico, hacia un mundo que se derrumba envuelto en llamas, y la Ciudad Oscura, envuelta en una densa niebla. Perseguido por una fuerza desconocida, ATEEZ empieza a defenderse para encontrar a ATINY. Vive una experiencia inmersiva intensa en la que cada segundo cuenta con INCEPTION, una explosión de libertad y energía en el éxito mundial BOUNCY (K-HOT CHILLI PEPPERS), y la máxima expresión del carisma refinado con Ice On My Teeth, ahora reimaginada para la gran pantalla. El concierto de realidad virtual de clase mundial que cautivó al público de todo el mundo ha sido totalmente adaptado para las salas de cine, llevando las electrizantes actuaciones de ATEEZ a la pantalla más grande de todas. Y, por primera vez, ve más allá del concierto con imágenes exclusivas detrás de cámaras nunca antes vistas, disponibles solo en este estreno en cines. Una historia que solo termina cuando estamos juntos. ATEEZ te invita ahora a otra dimensión. Nos vemos en la gran pantalla.",Cartelera,HO00032588,https://tickets-static-content.cinepolis.com/pimcore/20262/assets/Mexico/Tickets/Movies/ATEEZLIGHTTHEWAYENCINES/Es/Poster_WEB_Desktop_720x1022px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20262/assets/Mexico/Tickets/Movies/ATEEZLIGHTTHEWAYENCINES/Es/HeaderMovieDetails_WEB_Desktop_1440x900px_5/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20262/assets/Mexico/Tickets/Movies/ATEEZLIGHTTHEWAYENCINES/Es/6a5e8c396da33ateez/resource.mp4,,[]
